1000053132xxxxx,1361330314,2013-02-19
1000049732xxxxx,1357606484,2013-01-07
1000047422xxxxx,1354021840,2012-11-27
1000047355xxxxx,1353417806,2012-11-20
1000046843xxxxx,1352662415,2012-11-11
1000046015xxxxx,1350999158,2012-10-23
1000035523xxxxx,1349467776,2012-10-05
1000040785xxxxx,1343717040,2012-07-30
1000041143xxxxx,1342928040,2012-07-21
1000038945xxxxx,1338526722,2012-05-31
1000036032xxxxx,1331873652,2012-03-15
1000031133xxxxx,1320583505,2011-11-06
1000031024xxxxx,1320464096,2011-11-04
1000029834xxxxx,1318571069,2011-10-13
1000029345xxxxx,1315974235,2011-09-13
1000026042xxxxx,1309652553,2011-07-02
1000023280xxxxx,1306728328,2011-05-29
1000024582xxxxx,1304995827,2011-05-09
1000023732xxxxx,1303537065,2011-04-22
1000022413xxxxx,1302326877,2011-04-08
1000022328xxxxx,1300810582,2011-03-22
1000019352xxxxx,1295628516,2011-01-21
1000014241xxxxx,1285972221,2010-10-01
1000013861xxxxx,1281882953,2010-08-15
1000014436xxxxx,1280116994,2010-07-25
1000012117xxxxx,1276055448,2010-06-08
1000010697xxxxx,1274090432,2010-05-17
1000010425xxxxx,1272438522,2010-04-28
1000008600xxxxx,1268201411,2010-03-09
1000008113xxxxx,1267667333,2010-03-03
1000006286xxxxx,1266618961,2010-02-19
1000006189xxxxx,1263726284,2010-01-17
1000006449xxxxx,1262406605,2010-01-01
1000003298xxxxx,1261112448,2009-12-17
1000005651xxxxx,1259793952,2009-12-02
1000005426xxxxx,1259605238,2009-11-30
1000005072xxxxx,1258400669,2009-11-16
1000004668xxxxx,1257502719,2009-11-06
1000002286xxxxx,1252567838,2009-09-10
1000001160xxxxx,1250562107,2009-08-17
1000001568xxxxx,1250382196,2009-08-15
